"ID","TITLE","PRICE","MILEAGE","POWER"
"6109325142","Mercedes-Benz Actros 1848 Retarder / ADR ","41 900","439 112 km","480 KM"
"6114955283","Mercedes-Benz Actros 1845 ","87 330","1000 727 km","450 KM"
"6114311349","Mercedes-Benz ACTROS 1845 STREAMSPACE dobra waga ","142 000","620 000 km","450 KM"
"6110311657","Mercedes-Benz ACTROS 1853 GIGASPACE XENON I-COOL SALONKA NAVI FULL OPCJA!! UNIKAT!!! ","288 000","434 000 km","530 KM"
"6101707087","Mercedes-Benz ACTROS ","118 000","985 000 km","420 KM"
"6114954249","Mercedes-Benz ACTROS  bez retardera POKONTRAKTOWY ","57 000","430 000 km","480 KM"
"6113649478","Mercedes-Benz actros f ","393 600","21 121 km","400 KM"
"6114531827","Mercedes-Benz / ACTROS / 1842 / EURO 6 / ACC / LOW DECK / MEGA / GIGA SPACE ","227 550","490 000 km","420 KM"
"6114530945","Mercedes-Benz ACTROS / 1848 / EURO 6 / ACC / GIGA SPACE / RETARDER ","268 140","490 000 km","480 KM"
"6114530807","Mercedes-Benz ACTROS / 1848 / EURO 6 / ACC / LOW DECK / MEGA / GIGA SPACE ","387 450","290 000 km","480 KM"
"6109037661","Mercedes-Benz ACTROS 1845 / BigSpace / Standard / Bez Retardera ","159 000","564 000 km","450 KM"
"6110883663","Mercedes-Benz ACTROS MP4 ","110 700","1040 000 km","450 KM"
"6111425542","Mercedes-Benz","109 470","1200 000 km",
"6111405253","Mercedes-Benz","89 000","1200 000 km","450 KM"
"6114075577","Mercedes-Benz Actros 1845 ","76 137","711 892 km",
"6111145015","Mercedes-Benz Actros L 1848 Mega Giga space ","111 900","40 km","480 KM"
"6112540245","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS ","85 116","368 825 km","450 KM"
"6108665363","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","58 917","597 398 km","450 KM"
"6110791642","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","58 425","619 941 km","450 KM"
"6114575309","Mercedes-Benz Actros 1845 LSnRL ","97 047","255 000 km","450 KM"
"6113138317","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","59 040","594 476 km","450 KM"
"6113138318","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","59 532","570 386 km","450 KM"
"6113400015","Mercedes-Benz Actros 1845 MP4 euro6 ","98 000","681 879 km",
"6114573943","Mercedes-Benz ACTROS ","103 000","826 000 km","310 KM"
"6110974148","Mercedes-Benz ACTROS 1845 HYDRAULIKA ","186 000","630 000 km","450 KM"
"6113888056","Mercedes-Benz Actros 1845 LS 4x2 BigSpace PC ","107 256","194 559 km","450 KM"
"6114072597","Mercedes-Benz Actros ","119 310","1000 040 km","450 KM"
"6105604932","Mercedes-Benz ACTROS 1848 Gigaspace hydraulika ","139 900","764 213 km","480 KM"
"6111399049","Mercedes-Benz ACTROS 1853 / BigSpace / Bi-Xenon / 642394 ","332 100","418 200 km","530 KM"
"6114572174","Mercedes-Benz Actros ","178 350","580 000 km",
"6114530519","Mercedes-Benz / ACTROS / 1845 / EURO 6 / ACC / STREAM SPACE ","236 160","570 000 km","450 KM"
"6114945400","Mercedes-Benz actros ","98 400","756 000 km","450 KM"
"6114945410","Mercedes-Benz ACTROS MP4 1845 LOWDECK ","92 000","853 000 km","450 KM"
"6112293371","Mercedes-Benz Actros 1845 ","195 570","927 713 km","450 KM"
"6105693260","Mercedes-Benz Actros 1845 Bigspace ","21 900","952 661 km","450 KM"
"6110914248","Mercedes-Benz ACTROS 1845 / Bez Retardera/ Standard / ","159 000","620 000 km","450 KM"
"6113081712","Mercedes-Benz Actros ","122 000","627 520 km","430 KM"
"6112736129","Mercedes-Benz Actros 1845 ","92 900","27 000 km","450 KM"
"6114942693","Mercedes-Benz ACTROS 1845 Euro 6 Big Space Low Deck Mega !!! ","195 570","699 000 km","450 KM"
"6109447238","Mercedes-Benz Actros 1845 ","131 000","814 000 km","450 KM"
"6109174940","Mercedes-Benz ACTROS ","91 000","970 000 km","420 KM"
"6109174722","Mercedes-Benz ACTROS ","88 000","1020 000 km","450 KM"
"6105688658","Mercedes-Benz Actros 1845 Bigspace Lowdeck ","53 900","384 026 km","450 KM"
"6102726925","Mercedes-Benz Actros 1845 ","289 037","522 657 km","440 KM"
"6114939190","Mercedes-Benz ACTROS ","195 000","685 327 km",
"6106908335","Mercedes-Benz Actros ","74 000","950 700 km","450 KM"
"6111050700","Mercedes-Benz Actros ","140 835"," 100 km","510 KM"
"6111565912","Mercedes-Benz ACTROS / MP5 / 480 PS / Klima postojowa / MirrorCam / Salonka / Giga / ACC ","329 000","380 000 km","480 KM"
"6114934106","Mercedes-Benz ACTROS L Giga Space Cab ","95 000","65 000 km","480 KM"
"6103823134","Mercedes-Benz ACTROS 1843 ///* 2017 */// WAGA 6.938 KG * SUPER STAN! ","167 000","643 000 km","430 KM"
"6114478163","Mercedes-Benz ACTROS ","221 277","482 197 km","422 KM"
"6114506363","Mercedes-Benz ACTROS*1845*BIG SPACE*2018*STANDARD*JAK NOWY* ","149 000","830 000 km","450 KM"
"6107658821","Mercedes-Benz Actros ","15 800","975 000 km","450 KM"
"6114701843","Mercedes-Benz ACTROS ","209 100","822 172 km","450 KM"
"6104528538","Mercedes-Benz Actros 1848 Mega Giga Bez retader ","179 900","570 000 km","480 KM"
"6114929414","Mercedes-Benz ACTROS ","195 000","694 827 km",
"6110046877","Mercedes-Benz ACTROS 1845 LS Big Space ","44 500","550 000 km","450 KM"
"6112537873","Mercedes-Benz Actros ","172 000","623 434 km","450 KM"
"6112238783","Mercedes-Benz AROCS 1843 Ciągnik siodłowy + HYDRAULIKA ","179 000","463 000 km","430 KM"
"6099716613","Mercedes-Benz ACTROS ","182 040","735 000 km","450 KM"
"6096774800","Mercedes-Benz Actros 1853 / 2017 / BigSpace / Retarder / NAVI / Euro6 / Stan Idealny ","294 708","687 000 km","530 KM"
"6110853380","Mercedes-Benz Actros 1845 LS ","37 500","753 152 km","450 KM"
"6109513684","Mercedes-Benz ACTROS ","29 520","910 000 km","450 KM"
"6114524289","Mercedes-Benz Actros 1845 ","159 000","560 000 km","480 KM"
"6109495499","Mercedes-Benz Actros 1848 Retarder / z Francji / Standart ","44 900","564 928 km","480 KM"
"6112354413","Mercedes-Benz Actros 2553 ","407 130","271 800 km","530 KM"
"6106084987","Mercedes-Benz AROCS 1953 4x4 HAD Hydraulika ","259 900","542 200 km","530 KM"
"6105586517","Mercedes-Benz Actros 1845 Bigspace Lowdeck ","50 900","413 517 km","450 KM"
"6114520975","Mercedes-Benz ACTROS 963 ","165 000","800 000 km","450 KM"
"6114238514","Mercedes-Benz ACTROS 1845 ","165 000","778 000 km",
"6113856863","Mercedes-Benz ACTROS ","153 750","922 644 km","450 KM"
"6114880226","Mercedes-Benz ACTROS 1845 ","103 320","682 031 km","450 KM"
"6100606837","Mercedes-Benz ACTROS 1848 ","146 370","1186 000 km","480 KM"
"6107504614","Mercedes-Benz ACTROS 1843 Euro 6 ADR ","19 557","1033 186 km","430 KM"
"6114922353","Mercedes-Benz ACTROS MP5  BEZ RETARDERA FABRYCZNIE ","63 500","440 000 km","510 KM"
"6108756763","Mercedes-Benz","65 000","940 000 km",
"6114339672","Mercedes-Benz Bezwypadkowy/Serwisowany/TOP-STAN ","17 500","471 000 km","430 KM"
"6114921533","Mercedes-Benz ACTROS L ","120 417","22 km","450 KM"
"6101541744","Mercedes-Benz ACTROS 1846 Ciągnik siodłowy * STAN BDB ","155 000","653 000 km","460 KM"
"6114919967","Mercedes-Benz ACTROS / 1848 / MP 5 / EURO 6 / ACC / BIG SPACE / NOWY ","140 220"," 100 km","480 KM"
"6112481467","Mercedes-Benz Actros 1845 mega ","26 937","790 000 km",
"6111112649","Mercedes-Benz ACTROS 1846 / NISKI / HYDRAULIKA / EURO 6 / ","159 000","531 000 km","460 KM"
"6111123653","Mercedes-Benz ACTROS 1845 / BIG SPACE / MP5 / ACC / 2021 R / KAMERY / ","399 000","162 000 km","450 KM"
"6111397803","Mercedes-Benz ACTROS 1842 / STREAM SPACE / LOW DECK / MEGA / EURO 6 / ","99 000","662 000 km","420 KM"
"6110469477","Mercedes-Benz Actros 1845 L/ BigSpace / Gwarancja !!! ","116 727","84 000 km","450 KM"
"6113374784","Mercedes-Benz ACTROS 1845 Standard BIG SPICE ","179 000","599 000 km","450 KM"
"6113040818","Mercedes-Benz Actros 450 ","115 620","952 000 km",
"6111735599","Mercedes-Benz ACTROS/1853/EURO6/GIGA SPACE/SALONKA/PODUSZKA PRZÓD/TYŁ ","331 977","487 000 km","530 KM"
"6110628167","Mercedes-Benz Actros ","153 900","757 000 km","510 KM"
"6110248514","Mercedes-Benz ACTROS-MP4-1843-430KM-BIG-SPACE-AUTOMAT-EURO 6 ","166 050","598 000 km","430 KM"
"6111191167","Mercedes-Benz Actros 1845 ","189 000","639 000 km","450 KM"
"6112610238","Mercedes-Benz ACTROS MP4 ","220 170","273 000 km","450 KM"
"6112157864","Mercedes-Benz Actros 1945 ","207 870","585 000 km","450 KM"
"6108028069","Mercedes-Benz ACTROS MP4 ","207 870","278 000 km","420 KM"
"6114062907","Mercedes-Benz 18480 ","103 900"," 750 km","480 KM"
"6112569077","Mercedes-Benz Actros 1842 MP4 LS 4X2 BigSpace EURO 6 ","29 520","990 000 km","420 KM"
"6113394055","Mercedes-Benz Actros 1845 LS 4x2 BigSpace PC ","108 117","177 060 km","450 KM"
"6111766215","Mercedes-Benz ACTROS 1845  LOWDECK MP4 ","175 767","452 350 km","450 KM"
"6114560980","Mercedes-Benz mp4 ","184 500","800 000 km","450 KM"
"6114209354","Mercedes-Benz","40 221","591 000 km","450 KM"
"6087770105","Mercedes-Benz Actros 1848 BIGSPACE Full opcja Xenon ACC PCC Air-bag ","222 000","599 000 km","480 KM"
"6111569937","Mercedes-Benz Actros 1845 ","40 900","492 331 km","450 KM"
"6098418155","Mercedes-Benz Actros 1845 Bigspace Lowdeck ","49 900","463 249 km","450 KM"
"6103201128","Mercedes-Benz Actros 1845 ","199 000","564 000 km","450 KM"
"6102640453","Mercedes-Benz ACTROS 1845 ","164 807","732 713 km","440 KM"
"6114199354","Mercedes-Benz Actros 1845 ","137 022","896 930 km","428 KM"
"6114325548","Mercedes-Benz ACTROS ","250 000","390 000 km","450 KM"
"6114498001","Mercedes-Benz ACTROS 1845 / EURO 6 / STANDARD / GIGA SPACE / ","122 500","860 000 km","450 KM"
"6114497753","Mercedes-Benz ACTROS 1845 / EURO 6 / LOW DECK / ACC / ","159 000","670 000 km","450 KM"
"6114325155","Mercedes-Benz ACTROS ","230 000","425 000 km","450 KM"
"6114324888","Mercedes-Benz ACTROS ","205 000","554 000 km","450 KM"
"6114195904","Mercedes-Benz Actros 18.48 ","258 300","471 595 km","480 KM"
"6110902547","Mercedes-Benz ACTROS ","319 800","400 000 km","480 KM"
"6108663430","Mercedes-Benz ACTROS ","282 900","407 691 km","450 KM"
"6109924852","Mercedes-Benz Actros 1845 ","129 000","750 000 km","450 KM"
"6112045170","Mercedes-Benz Actros ","145 900","645 000 km","450 KM"
"6111287396","Mercedes-Benz Actros ","104 550","670 166 km","394 KM"
"6112156140","Mercedes-Benz ACTROS 1845 / STREAM SPACE / RETARDER / HYDRAULIKA / EURO 6 / ","109 000","770 000 km","450 KM"
"6108382565","Mercedes-Benz ACTROS 1848 / HYDRAULIKA / EURO 6 / ","159 000","530 000 km","480 KM"
"6110204610","Mercedes-Benz Actros 1845 ","30 900","815 517 km","450 KM"
"6113835666","Mercedes-Benz ACTROS MP4 EURO 6 ","109 900","1080 000 km","450 KM"
"6113591126","Mercedes-Benz Actros 1845 ","24 354","1042 000 km","450 KM"
"6114670743","Mercedes-Benz Actros 1845 ","233 700","633 000 km","450 KM"
"6110034779","Mercedes-Benz Actros 1845 Nowe Opony!!! ","40 900","569 720 km","450 KM"
"6110034559","Mercedes-Benz ACTROS 1846 ","318 570","464 000 km",
"6114646653","Mercedes-Benz Actros 1845 ","202 950","642 000 km","450 KM"
"6114187677","Mercedes-Benz Actros 1845 Hydraulika 2 obwody salonka NIEMCY ","218 940","440 000 km","430 KM"
"6114646892","Mercedes-Benz Actros 1845 ","202 950","649 000 km","450 KM"
"6111911614","Mercedes-Benz Actros 1843 / 2014r / Pełny ADR / Retarder / Niski przebieg / Alufelgi ","141 327","569 385 km","430 KM"
"6114645841","Mercedes-Benz Actros 1845 ","202 950","620 000 km","450 KM"
"6114646448","Mercedes-Benz Actros 1845 ","190 650","646 000 km","450 KM"
"6111966487","Mercedes-Benz 1851 LS 4x2 BigSpace ","71 900","278 000 km","510 KM"
"6105802253","Mercedes-Benz ACTROS 1845 ","32 500","899 000 km","450 KM"
"6109411321","Mercedes-Benz Actros 1845 low deck mega salon Polska serwisowany ","163 900","694 000 km","450 KM"
"6112652153","Mercedes-Benz ACTROS 1853 BIG SPACE ADR-FL BOGATA WERSJA 209000 netto ","257 070","675 000 km","530 KM"
