"ID","TITLE","PRICE","MILEAGE","POWER"
"6114880226","Mercedes-Benz ACTROS 1845 ","103 320","682 031 km","450 KM"
"6100606837","Mercedes-Benz ACTROS 1848 ","146 370","1186 000 km","480 KM"
"6114956570","Mercedes-Benz Actros ","88 000","100 000 km","450 KM"
"6113596758","Mercedes-Benz Actros 1848 GigaSpace ","282 900","548 000 km",
"6114553087","Mercedes-Benz ACTROS 1845 / STREAM SPACE / EURO 6 / ","99 000","922 000 km","450 KM"
"6109325142","Mercedes-Benz Actros 1848 Retarder / ADR ","41 900","439 112 km","480 KM"
"6114955283","Mercedes-Benz Actros 1845 ","92 250","1000 727 km","450 KM"
"6114311349","Mercedes-Benz ACTROS 1845 STREAMSPACE dobra waga ","142 000","620 000 km","450 KM"
"6110311657","Mercedes-Benz ACTROS 1853 GIGASPACE XENON I-COOL SALONKA NAVI FULL OPCJA!! UNIKAT!!! ","288 000","434 000 km","530 KM"
"6101707087","Mercedes-Benz ACTROS ","118 000","985 000 km","420 KM"
"6114954249","Mercedes-Benz ACTROS  bez retardera POKONTRAKTOWY ","57 000","430 000 km","480 KM"
"6113649478","Mercedes-Benz actros f ","393 600","21 121 km","400 KM"
"6114531827","Mercedes-Benz / ACTROS / 1842 / EURO 6 / ACC / LOW DECK / MEGA / GIGA SPACE ","227 550","490 000 km","420 KM"
"6114530945","Mercedes-Benz ACTROS / 1848 / EURO 6 / ACC / GIGA SPACE / RETARDER ","268 140","490 000 km","480 KM"
"6114530807","Mercedes-Benz ACTROS / 1848 / EURO 6 / ACC / LOW DECK / MEGA / GIGA SPACE ","387 450","290 000 km","480 KM"
"6109037661","Mercedes-Benz ACTROS 1845 / BigSpace / Standard / Bez Retardera ","159 000","564 000 km","450 KM"
"6110883663","Mercedes-Benz ACTROS MP4 ","110 700","1040 000 km","450 KM"
"6111425542","Mercedes-Benz","109 470","1200 000 km",
"6111405253","Mercedes-Benz","89 000","1200 000 km","450 KM"
"6114075577","Mercedes-Benz Actros 1845 ","76 137","711 892 km",
"6111145015","Mercedes-Benz Actros L 1848 Mega Giga space ","111 900","40 km","480 KM"
"6112540245","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS ","85 116","368 825 km","450 KM"
"6108665363","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","58 917","597 398 km","450 KM"
"6110791642","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","58 425","619 941 km","450 KM"
"6114575309","Mercedes-Benz Actros 1845 LSnRL ","97 047","255 000 km","450 KM"
"6113138318","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","59 532","570 386 km","450 KM"
"6113138317","Mercedes-Benz Actros 1845 LS 4x2 BigSpace ","59 040","594 476 km","450 KM"
"6113400015","Mercedes-Benz Actros 1845 MP4 euro6 ","98 000","681 879 km",
"6114573943","Mercedes-Benz ACTROS ","103 000","826 000 km","310 KM"
"6110974148","Mercedes-Benz ACTROS 1845 HYDRAULIKA ","186 000","630 000 km","450 KM"
"6113888056","Mercedes-Benz Actros 1845 LS 4x2 BigSpace PC ","107 256","194 559 km","450 KM"
"6114072597","Mercedes-Benz Actros ","119 310","1000 040 km","450 KM"
